Statistic,Target_Mean,Target_SD,Sim_Mean,Sim_SD,Sim_95_Lower,Sim_95_Upper,Z_Score
Log Mean Degree,2.6052519220084966,0.007068959955223541,2.5868383921744798,0.007082980802082767,2.573581678440693,2.6001668237183932,2.5996865371429996
Prop Degree <= 2,0.05081262830669279,0.0019938215937323764,0.05997863912573131,0.0017256838391928476,0.05653825828997061,0.0637025230586656,-5.311523820797747
Prop Degree >= 25,0.1478334739044998,0.00320747806997704,0.11702671587391353,0.0022666300555806234,0.11292535154963622,0.12118789110830414,13.591436306395737
Prop MM,0.26065525442426085,0.004469143823028177,0.2646483481567924,0.0046669286999240405,0.2560854714062765,0.2734490130041689,-0.855614899922626
Prop FF,0.3037588738774552,0.004559312443890973,0.3014762878129559,0.004578292262676559,0.29256930741151066,0.3100429523316065,0.4985671367264093
Prop Age 0-5,0.4096777324496152,0.003967356348998298,0.40987793732626193,0.00399827946656318,0.4026458193145983,0.4173861386738956,-0.050072757124910994
Prop Age 6-15,0.18574720793284527,0.0025346861583228613,0.18530198552639104,0.0024528493176415285,0.18074515947051123,0.19011871179855855,0.1815123347578147
Prop Age 20-35,0.24452730041109816,0.002467482825721674,0.2354185272734199,0.0022663917264633096,0.2308151954045068,0.23986790450847686,4.019063885258907
Prop Age > 40,0.07188896536476401,0.001814117217902259,0.06658649481093329,0.0017845067675335937,0.06310841818094513,0.06999913219064688,2.9713927962063056
Prop School,0.2229984621024551,0.0052643031748252,0.22311559465447658,0.005373286564676489,0.21282887602076678,0.233265079743281,-0.02179905177428934
