Statistic,Target_Mean,Target_SD,Sim_Mean,Sim_SD,Sim_95_Lower,Sim_95_Upper,Z_Score
Log Mean Degree,2.6052519220084966,0.007068959955223541,2.5923119562035177,0.006817047030939832,2.5773447226251336,2.6057517483917474,1.898177575458937
Prop Degree <= 2,0.05081262830669279,0.0019938215937323764,0.05855012898099374,0.001783530982167254,0.054878430849617806,0.061951318908008965,-4.33830460567539
Prop Degree >= 25,0.1478334739044998,0.00320747806997704,0.12254709289018258,0.002245232798557605,0.11782461738165038,0.12724085273182878,11.262253531376276
Prop MM,0.26065525442426085,0.004469143823028177,0.2593573144303802,0.004575896816610583,0.2503490038126329,0.26853904300833314,0.2836471288358439
Prop FF,0.3037588738774552,0.004559312443890973,0.3073045249348529,0.004632131105093542,0.29809436020381386,0.31622500544912796,-0.7654470430465243
Prop Age 0-5,0.4096777324496152,0.003967356348998298,0.41174332298319005,0.003731239121717219,0.4048065485259854,0.41947171533183353,-0.5535937167769123
Prop Age 6-15,0.18574720793284527,0.0025346861583228613,0.18376489335707216,0.0024378663038376416,0.17895558427653332,0.18847122646140896,0.8131350651397854
Prop Age 20-35,0.24452730041109816,0.002467482825721674,0.2317449975468054,0.0023098876391449527,0.22740856335085205,0.23646623222637964,5.533733610100782
Prop Age > 40,0.07188896536476401,0.001814117217902259,0.06544337533262108,0.0018027938259450142,0.06208147565020941,0.06872165989584939,3.575333984053438
Prop Primary Low,0.0283678158346945,0.0019734592466064643,0.025168226983796168,0.0019352022976189805,0.02141970515899757,0.0292250975969547,1.653361436597619
Prop Primary High,0.04458873554514886,0.0025673361459687054,0.04245420666361189,0.002696008774875857,0.03733599998512816,0.04779201215932815,0.791736622457863
Prop Secondary,0.09685772328430062,0.00391429401257126,0.10215824035773975,0.0036376881434528,0.09536330100750351,0.10945340020903238,-1.4571114577205126
Prop Tertiary,0.031238856634257895,0.0018218553523372026,0.03188573287659524,0.001729592031513057,0.02850670180936228,0.03534094600309467,-0.37400510094363393
