"SID","Male"
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,1
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,1
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,0
542,1
543,0
544,1
545,0
546,1
